Artist_x,Title,PeakPos,Duration,Date,id,Acousticness,Album,AlbumType,Artist_y,Danceability,DateS,Energy,Explicit,Genre,Instrumentalness,Key,Label,Length,Liveness,Loudness,Speechiness,Tempo,Track,TrackNumber,Valence
A Boogie Wit da Hoodie,My Sh*t,86.0,12.0,2016-11-05,772,0.244,Artist,album,A Boogie Wit da Hoodie,0.812,2016-09-16,0.621,1.0,"['pop', 'rap', 'trap music']",0.0,5.0,Highbridge The Label,128156.0,0.099,-8.3,0.0515,77.998,My Shit,3.0,0.847
Young M.A,OOOUUU,19.0,20.0,2016-09-17,773,0.533,OOOUUU,single,Young M.A,0.64,2016-05-20,0.819,1.0,"['rap', 'trap music']",0.0,7.0,M.A Music / 3D,234525.0,0.156,-4.108,0.455,166.012,OOOUUU,1.0,0.623
gnash Olivia O'Brien,I Hate U I Love U,10.0,39.0,2016-05-07,774,0.687,us,album,gnash,0.492,2016-03-25,0.275,1.0,"['pop', 'post-teen pop']",0.0,6.0,:):,251033.0,0.101,-13.4,0.3,92.6,"i hate u, i love u (feat. olivia o'brien)",6.0,0.18
Florida Georgia Line Tim McGraw,May We All,30.0,20.0,2016-09-17,775,0.0406,Dig Your Roots,album,Florida Georgia Line,0.488,2016-08-26,0.915,0.0,"['contemporary country', 'country road', 'modern country rock']",0.0,7.0,"Big Machine Label Group, LLC",226173.0,0.351,-4.255,0.0389,75.019,May We All,6.0,0.646
Brett Young,Sleep Without You,47.0,18.0,2016-10-01,776,0.0169,Brett Young,album,Brett Young,0.632,2017-02-10,0.716,0.0,['contemporary country'],0.0,5.0,"Big Machine Label Group, LLC",187813.0,0.0758,-5.677,0.043,88.549,Sleep Without You,1.0,0.655
Sam Hunt,Drinkin' Too Much,89.0,1.0,2017-01-28,777,0.855,Drinkin' Too Much,single,Sam Hunt,0.417,2017-01-27,0.394,0.0,['contemporary country'],0.0,1.0,MCA Nashville,231493.0,0.0971,-9.412,0.0513,138.525,Drinkin' Too Much,1.0,0.125
J. Cole,Immortal,11.0,5.0,2016-12-31,778,0.435,4 Your Eyez Only,album,J. Cole,0.713,2016-12-09,0.419,1.0,"['pop', 'pop rap', 'rap']",2.87e-06,11.0,Dreamville/Roc Nation/Interscope,201666.0,0.126,-10.668,0.356,91.634,Immortal,2.0,0.253
Russ,What They Want,83.0,8.0,2016-11-12,779,0.484,There's Really A Wolf,album,Russ,0.71,2017-05-05,0.404,1.0,"['hip hop', 'pop', 'rap']",0.0,1.0,Columbia,165853.0,0.0953,-10.04,0.379,139.553,What They Want,11.0,0.398
Ambassadors,Unsteady,20.0,34.0,2016-06-04,780,0.177,VHS,album,X Ambassadors,0.598,2015-06-30,0.673,0.0,"['modern alternative rock', 'modern rock', 'pop', 'stomp pop']",0.000316,9.0,KIDinaKORNER/Interscope Records,193546.0,0.203,-6.134,0.0469,117.02,Unsteady,4.0,0.255
DJ ESCO Future Lil Uzi Vert,Too Much Sauce,50.0,20.0,2016-09-10,781,0.0496,Too Much Sauce,single,DJ Esco,0.96,2016-08-19,0.547,1.0,"['pop rap', 'rap', 'southern hip hop', 'trap music', 'vapor trap']",0.0,6.0,Epic,223093.0,0.216,-6.992,0.0786,121.01,Too Much Sauce,1.0,0.186
Tim McGraw,How I'll Always Be,70.0,12.0,2016-11-05,782,0.319,Damn Country Music,album,Tim McGraw,0.456,2015-01-01,0.813,0.0,"['contemporary country', 'country', 'country road']",5.42e-06,2.0,"Big Machine Records, LLC",213453.0,0.0946,-4.676,0.0452,185.993,How I'll Always Be,3.0,0.635
Pentatonix,Hallelujah,23.0,11.0,2015-05-09,783,0.47,A Pentatonix Christmas Deluxe,album,Pentatonix,0.364,2017-12-06,0.378,0.0,['a cappella'],0.0,7.0,RCA Records Label,268960.0,0.339,-7.381,0.0331,89.918,Hallelujah,8.0,0.366
Daddy Yankee,Shaky Shaky,88.0,2.0,2017-01-14,784,0.0631,Shaky Shaky,single,Daddy Yankee,0.892,2016-04-08,0.627,0.0,"['latin', 'latin hip hop', 'pop', 'reggaeton', 'tropical']",0.0,1.0,EL CARTEL RECORDS (EC3),234320.0,0.0645,-4.215,0.343,87.995,Shaky Shaky,1.0,0.86
YFN Lucci Migos Trouble,Key To The Streets,70.0,11.0,2016-10-08,785,0.123,Wish Me Well 2,album,YFN Lucci,0.768,2017-06-09,0.687,1.0,"['dwn trap', 'rap', 'southern hip hop', 'trap music']",0.0,6.0,Think It's A Game,281986.0,0.113,-5.454,0.113,140.064,Key to the Streets (feat. Migos & Trouble),13.0,0.294
Opetaia Foa'i Lin-Manuel Miranda,We Know The Way,93.0,2.0,2016-12-17,786,0.372,Moana (Original Motion Picture Soundtrack/Deluxe Edition),compilation,Opetaia Foa'i,0.696,2016-11-18,0.567,0.0,[],0.0,9.0,Walt Disney Records,141413.0,0.112,-8.907,0.0374,98.034,We Know The Way,5.0,0.389
Wham! George Michael,Careless Whisper,1.0,22.0,2017-01-14,787,0.437,Celebrating The Hits Of George Michael & Wham,album,re:lounge,0.761,2011-04-08,0.49,0.0,[],0.00154,9.0,relounge music,341600.0,0.111,-7.462,0.0473,130.024,Careless Whisper - Smooth Chill Out Mix,12.0,0.296
George Michael,Faith,1.0,21.0,2017-01-14,788,0.0094,Faith,album,George Michael,0.887,1987-10-30,0.48,0.0,"['dance pop', 'dance rock', 'new wave pop']",3.58e-05,11.0,Epic,193200.0,0.0662,-11.994,0.117,95.846,Faith - Remastered,1.0,0.607
Young Thug And Travis Scott Quavo,Pick Up The Phone,43.0,20.0,2016-09-03,789,0.393,"Pick up the Phone (Originally by Young Thug, Travis Scott and Quavo) [Karaoke Instrumental]",single,Karaoke Freaks,0.787,2016-06-06,0.58,0.0,[],0.742,2.0,Karaoke Freaks,249345.0,0.245,-9.887,0.0378,139.547,"Pick up the Phone (Originally by Young Thug, Travis Scott and Quavo) - Karaoke Instrumental",1.0,0.516
Kodak Black,No Flockin,95.0,1.0,2017-01-14,790,0.0673,No Flockin,single,Kodak Black,0.943,2015-11-13,0.595,1.0,"['pop', 'rap', 'southern hip hop', 'trap music']",0.0,5.0,P2015,165290.0,0.0839,-8.372,0.191,117.532,No Flockin,1.0,0.815
Nicki Minaj Mike WiLL Made-It,Black Barbies,65.0,2.0,2016-12-24,791,0.0734,Black Barbies,single,Nicki Minaj,0.803,2016-11-30,0.585,1.0,"['dance pop', 'hip pop', 'pop', 'pop rap']",2.87e-05,0.0,Eardruma/Interscope Records,254080.0,0.201,-5.39,0.087,146.02,Black Barbies,1.0,0.241
Olivia O'Brien,Hate U Love U,99.0,1.0,2017-01-14,792,0.71,hate u love u,single,Olivia O'Brien,0.401,2016-12-09,0.398,0.0,"['dance pop', 'pop', 'post-teen pop']",0.0,6.0,Island Records,175466.0,0.0962,-8.993,0.183,180.293,hate u love u,1.0,0.265
Pentatonix,"Mary, Did You Know?",26.0,7.0,2015-01-03,793,0.302,That's Christmas To Me (Deluxe Edition),album,Pentatonix,0.497,2015-10-30,0.312,0.0,['a cappella'],0.0,11.0,RCA Records Label,203373.0,0.0968,-9.088,0.0269,105.036,"Mary, Did You Know?",6.0,0.177
"DJ Khaled Nicki Minaj, Chris Brown, August Alsina, Jeremih, Future Rick Ross",Do You Mind,27.0,20.0,2016-08-27,794,0.0173,Major Key,album,DJ Khaled,0.412,2016-08-05,0.548,1.0,"['dance pop', 'dirty south rap', 'hip hop', 'pop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap music', 'urban contemporary']",0.0,10.0,Epic/We The Best,325614.0,0.181,-6.981,0.243,81.293,Do You Mind,7.0,0.176
Lil Yachty,1 Night,49.0,20.0,2016-08-13,795,0.366,Lil Boat,album,Lil Yachty,0.762,2016-07-05,0.476,1.0,"['pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",0.0,0.0,"Quality Control Music, LLC",243269.0,0.103,-12.686,0.114,130.007,One Night,9.0,0.375
J. Cole,Change,21.0,2.0,2016-12-31,796,0.642,4 Your Eyez Only,album,J. Cole,0.58,2016-12-09,0.519,1.0,"['pop', 'pop rap', 'rap']",0.00116,11.0,Dreamville/Roc Nation/Interscope,331480.0,0.0936,-10.653,0.251,107.401,Change,6.0,0.242
J. Cole,She's Mine Pt.1,22.0,2.0,2016-12-31,797,0.776,4 Your Eyez Only,album,J. Cole,0.435,2016-12-09,0.202,1.0,"['pop', 'pop rap', 'rap']",0.0976,2.0,Dreamville/Roc Nation/Interscope,209080.0,0.245,-15.097,0.0702,139.574,She's Mine Pt. 1,5.0,0.0429
J. Cole,Ville Mentality,24.0,2.0,2016-12-31,798,0.789,4 Your Eyez Only,album,J. Cole,0.857,2016-12-09,0.378,1.0,"['pop', 'pop rap', 'rap']",0.000171,7.0,Dreamville/Roc Nation/Interscope,194346.0,0.119,-8.371,0.0928,119.976,Ville Mentality,4.0,0.626
J. Cole,For Whom The Bell Tolls,23.0,2.0,2016-12-31,799,0.471,4 Your Eyez Only,album,J. Cole,0.652,2016-12-09,0.407,1.0,"['pop', 'pop rap', 'rap']",0.0,10.0,Dreamville/Roc Nation/Interscope,127880.0,0.294,-11.028,0.0354,111.65,For Whom The Bell Tolls,1.0,0.169
The Weeknd,Six Feet Under,34.0,4.0,2016-12-17,800,0.102,Starboy,album,The Weeknd,0.768,2016-11-25,0.485,1.0,"['canadian pop', 'pop', 'rap']",0.0,6.0,Universal Republic Records,237573.0,0.128,-8.435,0.0825,140.016,Six Feet Under,10.0,0.289
The Weeknd Kendrick Lamar,Sidewalks,27.0,4.0,2016-12-17,801,0.135,Starboy,album,The Weeknd,0.542,2016-11-25,0.727,1.0,"['canadian pop', 'pop', 'rap']",0.0,1.0,Universal Republic Records,231360.0,0.328,-5.268,0.0849,150.098,Sidewalks,9.0,0.548
J. Cole,Foldin Clothes,30.0,2.0,2016-12-31,802,0.218,4 Your Eyez Only,album,J. Cole,0.713,2016-12-09,0.496,1.0,"['pop', 'pop rap', 'rap']",0.000237,7.0,Dreamville/Roc Nation/Interscope,316920.0,0.0761,-10.045,0.311,162.039,Foldin Clothes,8.0,0.6
J. Cole,4 Your Eyez Only,29.0,1.0,2016-12-31,803,0.358,4 Your Eyez Only,album,J. Cole,0.894,2016-12-09,0.284,1.0,"['pop', 'pop rap', 'rap']",0.000487,11.0,Dreamville/Roc Nation/Interscope,216520.0,0.11,-13.002,0.33,138.944,Neighbors,7.0,0.413
J. Cole,She's Mine Pt. 2,34.0,1.0,2016-12-31,804,0.776,4 Your Eyez Only,album,J. Cole,0.435,2016-12-09,0.202,1.0,"['pop', 'pop rap', 'rap']",0.0976,2.0,Dreamville/Roc Nation/Interscope,209080.0,0.245,-15.097,0.0702,139.574,She's Mine Pt. 1,5.0,0.0429
J. Cole,False Prophets,54.0,2.0,2016-12-24,805,0.698,False Prophets,single,J. Cole,0.73,2016-12-06,0.747,1.0,"['pop', 'pop rap', 'rap']",1.63e-05,8.0,Dreamville/Roc Nation/Interscope,237426.0,0.152,-9.496,0.324,90.039,False Prophets,1.0,0.751
J. Cole,Everybody Dies,57.0,1.0,2016-12-31,806,0.3,everybody dies,single,J. Cole,0.617,2016-12-06,0.686,1.0,"['pop', 'pop rap', 'rap']",1.36e-05,2.0,Dreamville/Roc Nation/Interscope,161826.0,0.105,-9.858,0.245,79.252,everybody dies,1.0,0.544
PARTYNEXTDOOR Drake,Come And See Me,55.0,24.0,2016-04-23,807,0.0511,PARTYNEXTDOOR 3 (P3),album,PARTYNEXTDOOR,0.717,2016-08-12,0.347,1.0,"['dance pop', 'indie r&b', 'pop', 'pop rap', 'r&b', 'rap', 'trap music', 'urban contemporary']",2.43e-06,11.0,OVO Sound/Warner Bros.,235477.0,0.087,-10.265,0.0636,84.987,Come and See Me (feat. Drake),15.0,0.0589
Sundance Head,Darlin' Don't Go,67.0,1.0,2016-12-31,808,0.202,Soul Country,album,Sundance Head,0.683,2015-04-25,0.324,0.0,[],0.000132,4.0,Sundance Head,263013.0,0.11,-9.735,0.0331,117.746,Darlin' Don't Go,3.0,0.324
Sundance Head,At Last,89.0,1.0,2016-12-31,809,0.228,The Complete Season 11 Collection (The Voice Performance),album,Sundance Head,0.419,2016-12-14,0.555,0.0,[],0.0,2.0,Universal Music Group,207853.0,0.113,-5.531,0.0275,101.667,At Last - The Voice Performance,9.0,0.375
Kenny Chesney P!nk,Setting The World On Fire,29.0,20.0,2016-08-20,810,0.0171,Cosmic Hallelujah,album,Kenny Chesney,0.61,2017-04-28,0.822,0.0,"['contemporary country', 'country', 'country road']",1.88e-06,0.0,"Blue Chair Records, LLC / Columbia Nashville",217466.0,0.093,-4.422,0.0355,93.993,Setting the World On Fire,3.0,0.437
