Acousticness,Album,Album Type,Artist,Danceability,Date,Energy,Explicit,Genre,Instrumentalness,Key,Label,Length,Liveness,Loudness,Speechiness,Tempo,Track,Track Number,Valence
0.0106,Talk Too Much,single,COIN,0.598,2016-05-06,0.914,0.0,"['indie pop', 'indie poptimism', 'indietronica', 'modern alternative rock', 'modern rock']",1.22e-06,4.0,StarTime International/Columbia,187813.0,0.369,-3.752,0.0878,103.972,Talk Too Much,1.0,0.531
0.0208,24K Magic,album,Bruno Mars,0.571,2016-11-17,0.539,0.0,"['dance pop', 'pop', 'post-teen pop']",0.0,5.0,Atlantic Records,186973.0,0.125,-4.446,0.116,202.103,Chunky,2.0,0.727
0.363,Bobby Tarantino,album,Logic,0.708,2016-07-01,0.612,1.0,"['hip hop', 'pop rap', 'rap']",0.0,6.0,Def Jam Recordings,182266.0,0.204,-8.939,0.302,94.274,44 Bars,9.0,0.341
0.675,Coloring Book,album,Chance The Rapper,0.693,2016-05-27,0.426,1.0,"['hip hop', 'pop', 'pop rap', 'rap']",1.03e-05,8.0,Chance the Rapper,290316.0,0.115,-12.476,0.302,144.796,Summer Friends (feat. Jeremih & Francis & The Lights),3.0,0.477
0.496,Therapy Session,album,NF,0.503,2016-04-22,0.695,0.0,['hip hop'],0.0,10.0,Capitol CMG Label Group,322586.0,0.0966,-7.777,0.743,82.141,How Could You Leave Us,4.0,0.102
0.0263,KILL YOURSELF Part XII: The Dark Glacier Saga,single,$uicideBoy$,0.931,2017-05-23,0.422,1.0,['underground hip hop'],0.0,7.0,"G59 Records, LLC",123480.0,0.102,-6.838,0.168,139.974,2nd Hand,2.0,0.102
0.00064,Harry Styles,album,Harry Styles,0.375,2017-05-12,0.93,0.0,"['pop', 'post-teen pop']",0.0,2.0,Columbia,176386.0,0.318,-2.631,0.0561,147.124,Kiwi,7.0,0.491
0.000271,Thunder & Rain Relaxation,single,Thunderstorm Sound Bank,0.145,2017-01-09,0.451,0.0,['environmental'],0.726,1.0,Thunder Records,188315.0,0.387,-31.264,0.0632,103.363,Rain & Thunder,2.0,0.0347
0.738,The Color Of You,album,Alina Baraz,0.599,2018-04-06,0.396,0.0,"['etherpop', 'indie r&b', 'pop']",2.19e-05,10.0,Mom+Pop,246327.0,0.102,-10.489,0.0392,111.072,Electric (feat. Khalid),9.0,0.134
0.24,First Impressions,single,James TW,0.675,2016-04-15,0.441,0.0,"['neo mellow', 'pop', 'pop rock', 'post-teen pop', 'viral pop']",0.0,7.0,Island Records,216373.0,0.0541,-6.068,0.0281,125.881,When You Love Someone,3.0,0.325
0.0209,Far,single,Lil Xan,0.731,2017-11-03,0.587,1.0,['underground hip hop'],0.0,6.0,Columbia,142853.0,0.117,-7.323,0.0565,136.001,Far,1.0,0.545
0.0485,Solo Dance,single,Martin Jensen,0.746,2016-11-04,0.846,0.0,"['dance pop', 'edm', 'pop', 'tropical house']",0.0,9.0,disco:wax,174933.0,0.195,-2.432,0.048,114.955,Solo Dance,1.0,0.403
0.049,4EVER,single,Clairo,0.75,2018-04-27,0.585,0.0,['lo-fi beats'],0.00552,9.0,FADER Label,159595.0,0.155,-7.576,0.0285,102.331,4EVER,1.0,0.584
0.71,Flower Boy,album,"Tyler, The Creator",0.686,2017-07-21,0.429,1.0,"['hip hop', 'indie r&b', 'rap']",3.41e-06,8.0,Columbia,194933.0,0.166,-10.402,0.15,130.09,Where This Flower Blooms,2.0,0.27
0.023,Rearview Town,single,Jason Aldean,0.526,2018-03-16,0.85,0.0,"['contemporary country', 'country', 'country road']",0.0,10.0,Broken Bow Records,184173.0,0.0948,-4.47,0.0313,141.973,Rearview Town,1.0,0.338
0.0609,Ride Or Die (feat. Foster The People),single,The Knocks,0.648,2018-03-09,0.75,0.0,"['alternative dance', 'edm', 'indie pop', 'indie poptimism', 'indietronica', 'modern rock', 'nu disco', 'pop', 'tropical house', 'vapor soul']",4.41e-06,0.0,Big Beat/Neon Gold,242034.0,0.104,-3.248,0.0335,105.03,Ride Or Die (feat. Foster The People),1.0,0.556
0.186,Hamilton (Original Broadway Cast Recording),compilation,Renée Elise Goldsberry,0.74,2015-09-25,0.727,0.0,['hollywood'],0.0,2.0,Atlantic Records,186542.0,0.627,-6.253,0.278,101.408,The Schuyler Sisters,5.0,0.792
0.412,Spotify Singles,single,Taylor Swift,0.641,2018-04-13,0.444,0.0,"['dance pop', 'pop', 'post-teen pop']",0.00121,6.0,"Big Machine Records, LLC",187823.0,0.179,-6.482,0.0239,107.081,September - Recorded at The Tracking Room Nashville,2.0,0.588
0.529,Energía,album,J Balvin,0.707,2016-06-24,0.686,0.0,"['latin', 'reggaeton']",2.72e-06,0.0,EMI Latin (LAT),205600.0,0.127,-4.328,0.209,180.08,Safari,3.0,0.629
0.195,Me Dejé Llevar,album,Christian Nodal,0.439,2017-08-25,0.426,0.0,"['banda', 'reggaeton', 'regional mexican']",0.0,2.0,Fonovisa,199320.0,0.312,-6.437,0.0377,177.61,Adiós Amor,1.0,0.687
0.0928,I just need U.,single,TobyMac,0.755,2018-01-05,0.649,0.0,"['ccm', 'christian alternative rock', 'christian hip hop', 'christian music', 'christian rock', 'worship']",0.000177,5.0,Forefront (FRF),226120.0,0.0939,-7.573,0.0303,104.022,I just need U.,1.0,0.734
0.0757,The Bloodiest,single,Jay Rock,0.635,2018-06-08,0.652,1.0,"['dirty south rap', 'gangster rap', 'hip hop', 'indie r&b', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music', 'underground hip hop']",3.35e-05,0.0,Jay Rock (TDE/ISR) JV,183421.0,0.334,-4.303,0.127,147.955,The Bloodiest,1.0,0.322
0.0177,Die Lit,album,Playboi Carti,0.943,2018-05-11,0.763,1.0,"['hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",1.76e-05,5.0,AWGE Label,219453.0,0.114,-5.568,0.133,139.969,No Time (feat. Gunna),15.0,0.229
0.0678,Wiped Out!,album,The Neighbourhood,0.588,2015-10-30,0.521,0.0,['modern alternative rock'],0.149,10.0,Columbia,260173.0,0.123,-9.461,0.0329,85.012,Daddy Issues,6.0,0.337
0.536,?,album,XXXTENTACION,0.671,2018-03-16,0.628,0.0,[],0.151,4.0,"Bad Vibes Forever, LLC",101516.0,0.12,-5.117,0.0273,135.005,Pain = BESTFRIEND - feat. Travis Barker,10.0,0.595
0.432,Lil Boat 2,album,Lil Yachty,0.787,2018-03-09,0.639,1.0,"['pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",0.0,1.0,"Quality Control Music, LLC",137356.0,0.142,-7.835,0.319,81.482,COUNT ME IN,6.0,0.758
0.0144,Professional Rapper,album,Lil Dicky,0.8,2015-07-31,0.656,1.0,"['hip hop', 'pop', 'pop rap', 'rap']",0.0,5.0,CMSN,285894.0,0.354,-5.874,0.114,119.921,Lemme Freak,4.0,0.436
0.472,Big Fish Theory,album,Vince Staples,0.894,2017-06-23,0.55,0.0,"['escape room', 'hip hop', 'pop rap', 'rap', 'underground hip hop']",1.89e-05,3.0,Def Jam Recordings,198133.0,0.311,-5.905,0.316,99.997,Big Fish,2.0,0.713
0.0334,A Moment Apart,album,ODESZA,0.558,2017-09-08,0.733,0.0,"['chillwave', 'ninja']",0.00193,8.0,Counter Records,237140.0,0.193,-6.65,0.0693,89.992,Line Of Sight (feat. WYNNE & Mansionair),5.0,0.173
0.00419,Fetty Wap (Deluxe),album,Fetty Wap,0.748,2015-09-25,0.741,1.0,"['dwn trap', 'hip hop', 'pop', 'pop rap', 'rap', 'trap music']",0.0,6.0,300 Entertainment/RGF Productions,213053.0,0.147,-3.103,0.0531,128.077,My Way (feat. Monty),8.0,0.537
0.294,Coloring Book,album,Chance The Rapper,0.771,2016-05-27,0.647,1.0,"['hip hop', 'pop', 'pop rap', 'rap']",0.0,5.0,Chance the Rapper,206240.0,0.37,-5.127,0.376,155.914,Angels (feat. Saba),8.0,0.678
0.0141,reputation,album,Taylor Swift,0.562,2017-11-10,0.791,0.0,"['dance pop', 'pop', 'post-teen pop']",0.0,5.0,"Big Machine Records, LLC",207133.0,0.382,-5.974,0.118,163.909,This Is Why We Can’t Have Nice Things,13.0,0.473
0.281,Therapy Session,album,NF,0.693,2016-04-22,0.783,0.0,['hip hop'],0.0,8.0,Capitol CMG Label Group,331480.0,0.392,-6.582,0.172,109.919,Therapy Session,2.0,0.458
0.0651,Last Year Was Complicated,album,Nick Jonas,0.714,2016-06-10,0.688,1.0,"['dance pop', 'pop', 'post-teen pop', 'r&b', 'viral pop']",0.0,1.0,Safehouse Records / Island Records,182946.0,0.268,-5.236,0.0619,143.954,Bacon,6.0,0.76
0.777,American Teen,album,Khalid,0.71,2017-04-27,0.405,0.0,"['indie r&b', 'pop']",0.000163,9.0,"Right Hand Music Group, LLC/RCA Records",207960.0,0.111,-10.864,0.0519,103.04,Cold Blooded,10.0,0.402
0.111,Duro y Suave,single,Leslie Grace,0.769,2018-01-19,0.721,0.0,"['bachata', 'latin', 'tropical']",5.9e-05,10.0,Sony Music Latin,207720.0,0.0505,-4.483,0.153,94.978,Duro y Suave,1.0,0.618
0.0376,Traveller,album,Chris Stapleton,0.392,2015-05-04,0.29,0.0,['contemporary country'],0.0093,9.0,Mercury Nashville,244333.0,0.102,-8.983,0.0303,115.488,Fire Away,2.0,0.176
0.0545,Vibras,album,J Balvin,0.769,2018-05-25,0.759,0.0,"['latin', 'reggaeton']",0.000628,6.0,Universal Music Latino,202346.0,0.101,-4.393,0.051,105.993,Peligrosa,10.0,0.68
0.192,Have It All,single,Jason Mraz,0.643,2018-04-27,0.617,0.0,"['acoustic pop', 'neo mellow', 'pop', 'pop rock', 'viral pop']",0.0,1.0,Atlantic Records,226098.0,0.0989,-4.95,0.041,82.029,Have It All,1.0,0.592
0.319,Die Lit,album,Playboi Carti,0.722,2018-05-11,0.686,1.0,"['hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",0.0,7.0,AWGE Label,162133.0,0.352,-6.178,0.24,77.015,Home (KOD),9.0,0.435
0.591,SATURATION,album,BROCKHAMPTON,0.945,2017-06-09,0.702,1.0,"['boy band', 'hip hop', 'indie r&b', 'rap']",0.000538,11.0,"QUESTION EVERYTHING, INC. / EMPIRE",259000.0,0.0788,-5.016,0.12,119.887,FACE,16.0,0.678
0.0997,Vibras,album,J Balvin,0.81,2018-05-25,0.716,0.0,"['latin', 'reggaeton']",0.000145,3.0,Universal Music Latino,254720.0,0.0859,-5.038,0.0638,88.002,Ahora,6.0,0.811
