Artist,Title,"('PeakPos', 'min')","('Duration', 'max')","('Date', 'min')"
Cardi B Featuring Kehlani,Ring,28.0,4.0,2018-04-21
XXXTENTACION,Changes,37.0,9.0,2018-03-17
J. Cole Featuring kiLL edward,The Cut Off,28.0,1.0,2018-05-05
J. Cole,Brackets,30.0,1.0,2018-05-05
Avicii,Wake Me Up!,4.0,54.0,2018-05-05
J. Cole,Window Pain (Outro),41.0,1.0,2018-05-05
Imagine Dragons,Thunder,4.0,52.0,2017-05-20
J. Cole,Once An Addict (Interlude),47.0,1.0,2018-05-05
NF,Let You Down,12.0,28.0,2017-11-04
Portugal. The Man,Feel It Still,4.0,45.0,2017-07-08
J. Cole,Intro,53.0,1.0,2018-05-05
Sugarland Featuring Taylor Swift,Babe,72.0,1.0,2018-05-05
Brett Eldredge,The Long Way,65.0,12.0,2018-02-17
Keala Settle & The Greatest Showman Ensemble,This Is Me,58.0,14.0,2018-01-13
Rae Sremmurd & Travis Scott,Close,14.0,20.0,2016-04-16
Cardi B,Thru Your Phone,50.0,3.0,2018-04-21
Cardi B Featuring Chance The Rapper,Best Life,39.0,3.0,2018-04-21
MAX Featuring gnash,Lights Down Low,20.0,28.0,2017-10-28
Post Malone,I Fall Apart,16.0,30.0,2017-10-14
G-Eazy & Halsey,Him & I,14.0,20.0,2017-12-23
Halsey,Bad At Love,5.0,33.0,2017-09-23
Thomas Rhett,Marry Me,30.0,20.0,2017-12-23
Cardi B,Bickenhead,43.0,2.0,2018-04-21
Zayn,Let Me,73.0,1.0,2018-04-28
The Weeknd,Wasted Times,27.0,3.0,2018-04-14
Cardi B,Get Up 10,38.0,2.0,2018-04-21
Swae Lee Featuring Slim Jxmmi,Guatemala,84.0,1.0,2018-04-28
Cardi B,Money Bag,58.0,2.0,2018-04-21
Young Thug Featuring Nicki Minaj,Anybody,89.0,1.0,2018-04-28
Cardi B & YG,She Bad,57.0,2.0,2018-04-21
6ix9ine,Billy,50.0,8.0,2018-03-10
"DJ Khaled Featuring JAY Z, Future & B",Top Off,22.0,7.0,2018-03-17
High Valley,She's With Me,79.0,8.0,2018-03-10
Daniel Caesar Featuring Kali Uchis,Get You,93.0,6.0,2018-03-03
SZA,Broken Clocks,82.0,4.0,2018-03-17
Scotty McCreery,Five More Minutes,44.0,20.0,2017-12-23
6ix9ine,Gotti,99.0,1.0,2018-04-28
