Artist,Title,"('PeakPos', 'min')","('Duration', 'max')","('Date', 'min')"
Calvin Harris Featuring Rihanna,This Is What You Came For,3.0,32.0,2016-05-21
twenty one pilots,Ride,5.0,39.0,2016-04-02
Rihanna,Needed Me,7.0,45.0,2016-02-20
Drake Featuring WizKid & Kyla,One Dance,1.0,36.0,2016-04-23
Desiigner,Tiimmy Turner,34.0,20.0,2016-08-13
The Weeknd,Secrets,47.0,2.0,2016-12-17
Childish Gambino,Me And Your Mama,68.0,2.0,2016-12-03
The Weeknd,True Colors,48.0,2.0,2016-05-21
Cole Swindell,Middle Of A Memory,46.0,20.0,2016-08-13
The Weeknd,Rockin',44.0,2.0,2016-12-17
The Weeknd Featuring Future,All I Know,46.0,2.0,2016-12-17
Fifth Harmony,That's My Girl,73.0,3.0,2016-12-10
The Weeknd,False Alarm,55.0,4.0,2016-10-22
The Weeknd,Ordinary Life,72.0,2.0,2016-12-17
The Weeknd Featuring Lana Del Rey,Stargirl Interlude,61.0,1.0,2016-12-17
The Weeknd,Nothing Without You,68.0,1.0,2016-12-17
The Weeknd,A Lonely Night,69.0,1.0,2016-12-17
The Weeknd,Love To Lay,71.0,1.0,2016-12-17
Kehlani,Distraction,85.0,1.0,2016-12-17
Jason Aldean,A Little More Summertime,52.0,13.0,2016-08-06
Kanye West,Fade,47.0,13.0,2016-09-24
Frenship & Emily Warren,Capsize,78.0,10.0,2016-10-15
Kiiara,Gold,13.0,27.0,2016-06-11
"Lil Wayne, Wiz Khalifa & Imagine Dragons With Logic & Ty Dolla $ign Feat. X Ambassadors",Sucker For Pain,15.0,22.0,2016-07-16
Desiigner,Panda,1.0,40.0,2016-03-12
Tory Lanez,Luv,19.0,22.0,2016-07-16
Calvin Harris,My Way,7.0,22.0,2015-07-18
Zara Larsson,Ain't My Fault,76.0,7.0,2016-10-29
Luke Bryan,Move,50.0,14.0,2016-09-10
Britney Spears Featuring Tinashe,Slumber Party,86.0,1.0,2016-12-10
Miranda Lambert,Vice,47.0,19.0,2016-08-06
Meek Mill Featuring Tory Lanez,Litty,49.0,4.0,2016-11-19
PIKOTARO,PPAP (Pen-Pineapple-Apple-Pen),77.0,4.0,2016-10-29
Pitbull Featuring Flo Rida & LunchMoney Lewis,Greenlight,95.0,4.0,2016-11-12
Eminem,Infinite,97.0,1.0,2016-12-10
Adele,Send My Love (To Your New Lover),8.0,27.0,2015-12-12
Chance The Rapper Featuring Lil Wayne & 2 Chainz,No Problem,43.0,26.0,2016-06-04
Drake Featuring Rihanna,Too Good,14.0,29.0,2016-05-21
Charlie Puth Featuring Selena Gomez,We Don't Talk Anymore,9.0,24.0,2016-02-20
A Tribe Called Quest,We The People....,77.0,1.0,2016-12-03
The Chainsmokers Featuring XYLO,Setting Fires,71.0,2.0,2016-11-26
Billy Currington,It Don't Hurt Like It Used To,44.0,17.0,2016-08-13
Little Mix,Shout Out To My Ex,69.0,3.0,2016-11-12
"DJ Drama Featuring Chris Brown, Skeme & Lyquin",Wishing,77.0,14.0,2016-09-03
Daya,"Sit Still, Look Pretty",28.0,24.0,2016-06-18
Lil Uzi Vert,Money Longer,54.0,22.0,2016-07-02
LOCASH,I Know Somebody,52.0,11.0,2016-09-17
The Game Featuring Jeremih,All Eyez,79.0,5.0,2016-10-22
Dae Dae,"Wat U Mean (Aye, Aye, Aye)",66.0,17.0,2016-08-06
Beyonce,Hold Up,13.0,14.0,2016-05-14
Kehlani,Gangsta,41.0,12.0,2016-08-27
Coldplay,Hymn For The Weekend,25.0,23.0,2016-02-20
Meek Mill Featuring Lil Uzi Vert & Nicki Minaj,Froze,68.0,1.0,2016-11-19
Meek Mill Featuring Young Thug & 21 Savage,Offended,70.0,1.0,2016-11-19
Drake,"Two Birds, One Stone",73.0,1.0,2016-11-19
Meek Mill,On The Regular,75.0,1.0,2016-11-19
Meek Mill Featuring Quavo,The Difference,84.0,1.0,2016-11-19
Meek Mill,Blue Notes,93.0,1.0,2016-11-19
Meek Mill,Blessed Up,97.0,1.0,2016-11-19
Tove Lo,Cool Girl,84.0,5.0,2016-08-27
Ariana Grande,Into You,13.0,24.0,2016-05-28
Drake,Controlla,16.0,26.0,2016-05-21
Lady Gaga,A-YO,66.0,1.0,2016-11-12
Lady Gaga,Perfect Illusion,15.0,6.0,2016-10-01
Kungs vs Cookin' On 3 Burners,This Girl,26.0,14.0,2016-08-13
YG Featuring Drake & Kamaiyah,Why You Always Hatin?,62.0,18.0,2016-07-09
Kehlani,CRZY,85.0,5.0,2016-10-15
French Montana Featuring Kodak Black,Lockjaw,73.0,13.0,2016-07-23
Marc E. Bassy Featuring G-Eazy,You & Me,58.0,16.0,2016-07-30
DJ Khaled Featuring Drake,For Free,13.0,20.0,2016-06-25
Fifth Harmony Featuring Ty Dolla $ign,Work From Home,4.0,34.0,2016-03-19
Dua Lipa,Blow Your Mind (Mwah),72.0,1.0,2016-11-05
Dierks Bentley Featuring Elle King,Different For Girls,42.0,20.0,2016-06-18
ScHoolboy Q Featuring Kanye West,THat Part,40.0,20.0,2016-06-04
Fifth Harmony Featuring Fetty Wap,All In My Head (Flex),24.0,18.0,2016-07-09
Tucker Beathard,Rock On,62.0,10.0,2016-09-03
William Michael Morgan,I Met A Girl,60.0,9.0,2016-09-10
DJ Khaled Featuring Jay Z & Future,I Got The Keys,30.0,17.0,2016-07-16
P!nk,Just Like Fire,10.0,26.0,2016-05-07
Kanye West,Father Stretch My Hands Pt. 1,37.0,23.0,2016-04-23
Grace Featuring G-Eazy,You Don't Own Me,57.0,20.0,2016-05-07
Kelsea Ballerini,Peter Pan,35.0,20.0,2016-06-18
OneRepublic,Kids,96.0,1.0,2016-10-29
"Artists Of Then, Now & Forever",Forever Country,21.0,4.0,2016-10-08
Solange,Cranes In The Sky,74.0,2.0,2016-10-22
Future Featuring The Weeknd,Low Life,18.0,35.0,2016-02-27
Sam Hunt,Make You Miss Me,45.0,19.0,2016-06-18
Solange Featuring Sampha,Don't Touch My Hair,91.0,1.0,2016-10-22
CL,LIFTED,94.0,1.0,2016-10-22
Rihanna Featuring Drake,Work,1.0,36.0,2016-02-13
Mike Posner,I Took A Pill In Ibiza,4.0,37.0,2016-02-06
Flume Featuring Kai,Never Be Like You,20.0,26.0,2016-04-23
Florida Georgia Line,H.O.L.Y.,14.0,22.0,2016-05-21
Lukas Graham,Mama Said,36.0,11.0,2016-08-06
Meghan Trainor,Me Too,13.0,20.0,2016-06-04
Skrillex & Rick Ross,Purple Lamborghini,33.0,10.0,2016-08-13
Nicky Jam,With You Tonight / Hasta El Amanecer,73.0,19.0,2016-06-11
Justin Moore,You Look Like I Need A Drink,79.0,8.0,2016-08-27
French Montana Featuring Drake,No Shopping,36.0,11.0,2016-08-06
Lukas Graham,7 Years,2.0,36.0,2016-02-06
twenty one pilots,Cancer,91.0,1.0,2016-10-08
Wale,My PYT,54.0,15.0,2016-07-02
Chris Brown,Grass Ain't Greener,71.0,4.0,2016-09-17
twenty one pilots,Stressed Out,2.0,52.0,2015-05-16
Kent Jones,Don't Mind,8.0,20.0,2016-05-21
Katy Perry,Rise,11.0,9.0,2016-08-06
Britney Spears Featuring G-Eazy,Make Me...,17.0,9.0,2016-08-06
Blake Shelton,She's Got A Way With Words,61.0,12.0,2016-07-16
Drake,Childs Play,49.0,14.0,2016-05-21
Jake Owen,American Country Love Song,55.0,17.0,2016-03-26
Beyonce,Sorry,1.0,42.0,2015-11-14
Dan + Shay,From The Ground Up,48.0,16.0,2016-06-11
Selena Gomez,Kill Em With Kindness,39.0,15.0,2016-06-18
DNCE,Cake By The Ocean,9.0,46.0,2015-11-07
Future,Wicked,41.0,20.0,2016-05-07
Young Thug,Wyclef Jean,87.0,1.0,2016-09-17
Eric Church,Record Year,44.0,20.0,2016-04-23
Enrique Iglesias Featuring Wisin,Duele El Corazon,82.0,8.0,2016-07-30
Carrie Underwood,Church Bells,43.0,17.0,2016-05-28
Justin Bieber,Love Yourself,1.0,41.0,2015-12-05
Frank Ocean,Nikes,79.0,1.0,2016-09-10
Frank Ocean,Ivy,80.0,1.0,2016-09-10
Frank Ocean,Pink + White,84.0,1.0,2016-09-10
Frank Ocean,Solo,96.0,1.0,2016-09-10
Frank Ocean,Nights,98.0,1.0,2016-09-10
MadeinTYO,Uber Everywhere,51.0,20.0,2016-04-16
Jacob Sartorius,Hit Or Miss,72.0,2.0,2016-08-13
Chris Lane,Fix,65.0,12.0,2016-06-18
DNCE,Toothbrush,44.0,10.0,2016-07-02
Drake Featuring The Throne,Pop Style,16.0,20.0,2016-04-23
Jason Aldean,Lights Come On,43.0,19.0,2016-04-23
Zac Brown Band,Castaway,96.0,2.0,2016-08-13
Galantis,No Money,88.0,5.0,2016-07-30
Keith Urban,Wasted Time,51.0,17.0,2016-04-23
James Bay,Let It Go,16.0,34.0,2016-01-09
Jon Pardi,Head Over Boots,51.0,24.0,2016-03-19
Panic! At The Disco,Bohemian Rhapsody,64.0,1.0,2016-08-27
"Fat Joe, Remy Ma & Jay Z Featuring French Montana & Infared",All The Way Up,27.0,20.0,2016-04-16
Fetty Wap,Wake Up,50.0,13.0,2016-05-14
Luke Bryan,"Huntin', Fishin' & Lovin' Every Day",37.0,20.0,2016-04-16
Flo Rida,My House,4.0,39.0,2015-11-28
Ariana Grande,Dangerous Woman,8.0,21.0,2016-04-02
Zara Larsson,Lush Life,75.0,3.0,2016-07-30
"DJ Khaled Featuring Big Sean, Kendrick Lamar & Betty Wright",Holy Key,84.0,1.0,2016-08-20
Ben Rector,Brand New,82.0,5.0,2016-07-23
OneRepublic,Wherever I Go,55.0,12.0,2016-06-04
Gucci Mane & Drake,Back On Road,81.0,1.0,2016-08-13
Gucci Mane Featuring Kanye West,P**** Print,89.0,1.0,2016-08-13
Ruth B,Lost Boy,24.0,22.0,2016-03-12
Zara Larsson & MNEK,Never Forget You,13.0,23.0,2016-03-05
5 Seconds Of Summer,Girls Talk Boys,68.0,1.0,2016-08-06
Demi Lovato,Body Say,84.0,1.0,2016-08-06
Meghan Trainor,No,3.0,20.0,2016-03-26
Fergie,M.I.L.F. $,34.0,3.0,2016-07-23
David Nail,Night's On Fire,81.0,5.0,2016-07-09
The Lumineers,Ophelia,66.0,12.0,2016-02-27
Dreezy Featuring Jeremih,Body,62.0,18.0,2016-04-09
Zayn,Pillowtalk,1.0,24.0,2016-02-20
G-Eazy x Bebe Rexha,"Me, Myself & I",7.0,37.0,2015-11-21
Jennifer Lopez & Lin-Manuel Miranda,Love Make The World Go Round,72.0,1.0,2016-07-30
Kenny Chesney,Noise,72.0,14.0,2016-04-16
Blake Shelton,Came Here To Forget,36.0,19.0,2016-03-26
Blink-182,Bored To Death,85.0,2.0,2016-07-23
Carlos Vives & Shakira,La Bicicleta,95.0,1.0,2016-07-30
O.T. Genasis Featuring Young Dolph,Cut It,35.0,20.0,2016-03-12
Jeremih,Oui,19.0,27.0,2016-01-23
Alessia Cara,Wild Things,50.0,20.0,2016-03-12
Disturbed,The Sound Of Silence,42.0,20.0,2016-03-12
Pitbull Featuring Enrique Iglesias,Messin' Around,64.0,8.0,2016-04-30
Drake,Still Here,40.0,10.0,2016-05-21
Drake,Hype,33.0,10.0,2016-05-21
Logic,Flexicution,100.0,1.0,2016-07-23
Kevin Gates,Really Really,46.0,26.0,2016-01-09
Chris Young Duet With Cassadee Pope,Think Of You,40.0,20.0,2016-03-05
Drake Featuring Future,Grammys,38.0,9.0,2016-05-21
Shakira,Try Everything,63.0,9.0,2016-03-26
"Kanye West, Gucci Mane, Big Sean, 2 Chainz, Travi$ Scott, Yo Gotti, Quavo, Desiigner",Champions,71.0,3.0,2016-07-02
Red Hot Chili Peppers,Dark Necessities,67.0,2.0,2016-07-09
Kevin Gates,2 Phones,17.0,25.0,2016-01-23
Tim McGraw,Humble And Kind,30.0,20.0,2016-02-13
Broadway For Orlando,What The World Needs Now Is Love,86.0,1.0,2016-07-09
Kane Brown,Ain't No Stopping Us Now,88.0,1.0,2016-07-09
Rihanna,Kiss It Better,62.0,12.0,2016-04-23
Bryson Tiller,Exchange,26.0,34.0,2015-11-14
Dierks Bentley,Somewhere On A Beach,35.0,20.0,2016-02-13
Jacob Sartorius,Sweatshirt,90.0,1.0,2016-07-02
Drake Featuring PARTYNEXTDOOR,With You,47.0,7.0,2016-05-21
Belly Featuring The Weeknd,Might Not,68.0,17.0,2016-03-12
Alan Walker,Faded,80.0,8.0,2016-04-30
DJ Snake Featuring Bipolar Sunshine,Middle,20.0,21.0,2016-02-06
Maren Morris,My Church,50.0,20.0,2016-02-13
Old Dominion,Snapback,50.0,20.0,2016-02-13
Mike WiLL Made-It x Rihanna,Nothing Is Promised,75.0,1.0,2016-06-25
Dustin Lynch,Mind Reader,57.0,16.0,2016-03-12
Beyonce,Formation,10.0,7.0,2016-05-14
Drake,Feel No Ways,53.0,6.0,2016-05-21
Yo Gotti Featuring E-40,Law,79.0,9.0,2016-04-30
Kelly Clarkson,Piece By Piece,8.0,15.0,2016-03-19
Young Greatness,Moolah,85.0,9.0,2016-04-16
Ghost Town DJ's,My Boo,27.0,36.0,2016-05-21
Jason Derulo,If It Ain't Love,67.0,8.0,2016-04-30
Drake,9,45.0,5.0,2016-05-21
Charlie Puth,One Call Away,12.0,26.0,2015-12-19
Adam Wakefield,Lonesome Broken And Blue,73.0,1.0,2016-06-11
Drake,U With Me?,44.0,4.0,2016-05-21
Drake,Fire & Desire,75.0,4.0,2016-05-21
Hannah Huston,Every Breath You Take,94.0,1.0,2016-06-11
Drake,Redemption,61.0,3.0,2016-05-21
Alisan Porter,Down That Road,100.0,1.0,2016-06-11
Shawn Mendes,Stitches,4.0,52.0,2015-06-13
The Chainsmokers Featuring Rozes,Roses,6.0,31.0,2015-11-07
Bryson Tiller,Don't,9.0,36.0,2015-01-03
Drake,Weston Road Flows,54.0,2.0,2016-05-21
Drake,Keep The Family Close,68.0,2.0,2016-05-21
Drake Featuring Pimp C & dvsn,Faithful,72.0,2.0,2016-05-21
Chance The Rapper Featuring Ty Dolla $ign,Blessings,28.0,20.0,2015-02-21
Adam Wakefield,I'm Sorry,94.0,1.0,2016-06-04
Kid Ink Featuring Fetty Wap,Promise,57.0,14.0,2016-03-05
Blake Shelton Featuring Gwen Stefani,Go Ahead And Break My Heart,70.0,1.0,2016-05-28
Jennifer Lopez,Ain't Your Mama,76.0,2.0,2016-04-30
Beyonce Featuring The Weeknd,6 Inch,18.0,3.0,2016-05-14
Rascal Flatts,I Like The Sound Of That,52.0,16.0,2016-02-13
Florida Georgia Line,Confession,53.0,20.0,2016-01-16
Iggy Azalea,Team,42.0,8.0,2016-04-09
Beyonce Featuring Jack White,Don't Hurt Yourself,28.0,2.0,2016-05-14
Beyonce,All Night,38.0,2.0,2016-05-14
Beyonce Featuring Kendrick Lamar,Freedom,35.0,2.0,2016-05-14
Beyonce,Daddy Lessons,41.0,2.0,2016-05-14
Beyonce,Pray You Catch Me,37.0,2.0,2016-05-14
Beyonce,Sandcastles,43.0,2.0,2016-05-14
Beyonce,Love Drought,47.0,2.0,2016-05-14
Drake,Views,86.0,1.0,2016-05-21
Drake,Summer Sixteen,6.0,14.0,2016-02-20
Prince And The Revolution,Purple Rain,2.0,18.0,2016-05-07
Prince,When Doves Cry,1.0,23.0,2016-05-07
Prince,Little Red Corvette,6.0,24.0,2016-05-07
Prince And The Revolution,Kiss,1.0,20.0,2016-05-07
Prince And The Revolution,Let's Go Crazy,1.0,21.0,2016-05-07
Prince,1999,12.0,30.0,2016-05-07
Prince And The Revolution,Raspberry Beret,2.0,18.0,2016-05-14
Prince And The Revolution,I Would Die 4 U,8.0,16.0,2016-05-14
Drake & Future,Jumpman,12.0,32.0,2015-10-10
Beyonce Featuring James Blake,Forward,63.0,1.0,2016-05-14
Chris Brown,Back To Sleep,20.0,20.0,2016-01-02
Cole Swindell,You Should Be Here,31.0,20.0,2016-01-02
A$AP Ferg Featuring Future,New Level,90.0,3.0,2016-04-16
Justin Bieber,Company,53.0,12.0,2015-12-05
The Weeknd,Acquainted,60.0,18.0,2015-09-19
Lee Brice,That Don't Sound Like You,64.0,11.0,2016-03-05
Selena Gomez,Hands To Myself,7.0,20.0,2015-12-26
Adele,Hello,1.0,26.0,2015-11-14
Yo Gotti Featuring Nicki Minaj,Down In The DM,13.0,21.0,2015-12-19
The Weeknd,The Hills,1.0,48.0,2015-06-13
Taylor Swift,New Romantics,46.0,8.0,2015-03-21
Brett Eldredge,Drunk On Your Love,35.0,15.0,2016-01-30
Ty Dolla $ign Featuring E-40,Saved,81.0,9.0,2016-03-12
Chase Bryant,Little Bit Of You,71.0,11.0,2016-02-27
DJ Luke Nasty,Might Be,78.0,10.0,2016-03-05
Kanye West,Pt. 2,54.0,3.0,2016-04-23
Fetty Wap,Jimmy Choo,65.0,11.0,2016-02-27
Jonas Blue Featuring Dakota,Fast Car,98.0,5.0,2016-04-02
Thomas Rhett,Die A Happy Man,21.0,30.0,2015-10-10
Chris Stapleton,Nobody To Blame,68.0,15.0,2016-01-23
Kanye West,Waves,14.0,25.0,2015-01-03
Robin Schulz Featuring Francesco Yates,Sugar,2.0,42.0,2015-01-31
Kanye West,Ultralight Beam,67.0,2.0,2016-04-23
Panic! At The Disco,Victorious,89.0,4.0,2016-02-06
Drake,Hotline Bling,2.0,36.0,2015-08-22
Adele,When We Were Young,14.0,20.0,2015-12-12
Kanye West,FML,84.0,1.0,2016-04-23
Chris Stapleton,Tennessee Whiskey,20.0,6.0,2015-11-21
Kanye West,Real Friends,92.0,1.0,2016-04-23
Zac Brown Band,Beautiful Drug,52.0,20.0,2015-11-21
Carrie Underwood,Heartbeat,42.0,14.0,2016-01-23
Kanye West,Feedback,99.0,1.0,2016-04-23
Fetty Wap Featuring Remy Boyz,679,4.0,40.0,2015-07-18
Justin Bieber,What Do You Mean?,1.0,31.0,2015-09-19
Meghan Trainor Featuring John Legend,Like I'm Gonna Lose You,8.0,39.0,2015-07-25
Post Malone,White Iverson,14.0,30.0,2015-09-26
Zayn,Like I Would,55.0,3.0,2016-04-02
Rachel Platten,Stand By You,37.0,20.0,2015-11-28
Shawn Mendes & Camila Cabello,I Know What You Did Last Summer,20.0,20.0,2015-12-05
Young Thug,With Them,87.0,1.0,2016-04-16
Luke Bryan Featuring Karen Fairchild,Home Alone Tonight,38.0,19.0,2015-12-12
Young Thug,Digits,93.0,1.0,2016-04-16
Ellie Goulding,Something In The Way You Move,43.0,10.0,2016-02-13
Gwen Stefani,Make Me Like You,54.0,5.0,2016-03-05
Ariana Grande,Be Alright,43.0,1.0,2016-04-09
Daya,Hide Away,23.0,27.0,2015-10-03
Alessia Cara,Here,5.0,34.0,2015-08-22
Selena Gomez,Same Old Love,5.0,28.0,2015-10-03
Elle King,Ex's & Oh's,10.0,38.0,2015-07-25
The Weeknd,In The Night,12.0,20.0,2015-09-19
Coldplay,Adventure Of A Lifetime,13.0,20.0,2015-11-28
Granger Smith,Backroad Song,49.0,16.0,2015-12-26
The Weeknd,Can't Feel My Face,1.0,41.0,2015-06-27
Randy Houser,We Went,60.0,13.0,2015-11-21
Keith Urban,Break On Me.,54.0,12.0,2016-01-16
Kendrick Lamar,Untitled 02 l 06.23.2014.,79.0,1.0,2016-03-26
Kendrick Lamar,Untitled 07 l Levitate,90.0,1.0,2016-03-26
2 Chainz,Watch Out,64.0,11.0,2016-01-16
Jason Derulo,Get Ugly,52.0,12.0,2016-01-09
2 Chainz Featuring Lil Wayne,Gotta Lotta,100.0,1.0,2016-03-26
Travis Scott,Antidote,16.0,26.0,2015-09-26
Major Lazer & DJ Snake Featuring MO,Lean On,4.0,48.0,2015-04-25
Wiz Khalifa Featuring Charlie Puth,See You Again,1.0,52.0,2015-03-28
Zayn,It's You,59.0,1.0,2016-03-19
Flo Rida Featuring Jason Derulo,Hello Friday,79.0,1.0,2016-03-19
Lil Dicky Featuring Fetty Wap & Rich Homie Quan,$ave Dat Money,71.0,19.0,2015-10-10
Lady Gaga,Til It Happens To You,95.0,1.0,2016-03-19
Empire Of The Sun,Walking On A Dream,65.0,5.0,2016-02-06
One Direction,History,65.0,6.0,2015-11-28
Taylor Swift,Wildest Dreams,5.0,27.0,2015-09-19
Kelsea Ballerini,Dibs,58.0,17.0,2015-11-14
Taylor Swift,Out Of The Woods,18.0,10.0,2016-01-23
Tori Kelly,Hollow,68.0,11.0,2016-01-02
Migos,Look At My Dab,87.0,1.0,2016-03-12
LOCASH,I Love This Life,56.0,18.0,2015-11-14
Mark Ronson Featuring Bruno Mars,Uptown Funk!,1.0,56.0,2015-01-03
Sam Hunt,Break Up In A Small Town,29.0,20.0,2015-10-24
Ellie Goulding,On My Mind,13.0,22.0,2015-10-10
Demi Lovato,Confident,21.0,20.0,2015-10-10
Brothers Osborne,Stay A Little Longer,46.0,20.0,2015-10-24
Adele,All I Ask,77.0,1.0,2016-03-05
Andy Grammer,Good To Be Alive (Hallelujah),62.0,10.0,2016-01-02
David Guetta Featuring Sia & Fetty Wap,Bang My Head,76.0,6.0,2016-01-30
Fall Out Boy,Irresistible,48.0,14.0,2015-01-24
DLOW,Do It Like Me,45.0,15.0,2015-11-28
Dawin,Dessert,68.0,11.0,2015-12-26
Silento,Watch Me,3.0,51.0,2015-03-14
Future,Fly S**t Only,67.0,1.0,2016-02-27
Wiz Khalifa Featuring Travi$ Scott,Bake Sale,56.0,2.0,2016-02-13
Missy Elliott Featuring Pharrell Williams,WTF (Where They From),22.0,14.0,2015-11-28
Chase Rice,Whisper,94.0,1.0,2016-02-27
Nelly Featuring Jeremih,The Fix,62.0,20.0,2015-09-05
J. Cole,No Role Modelz,36.0,25.0,2015-09-12
Fetty Wap,Again,33.0,26.0,2015-08-29
Drake & Future,Big Rings,52.0,20.0,2015-10-10
Brad Paisley,Country Nation,94.0,2.0,2016-02-13
DeJ Loaf Featuring Big Sean,Back Up,47.0,18.0,2015-10-24
"Kevin Gates Featuring Trey Songz, Ty Dolla $ign & Jamie Foxx",Jam,97.0,1.0,2016-02-20
Sia,Alive,56.0,3.0,2015-10-17
Big Sean Featuring Chris Brown & Ty Dolla $ign,Play No Games,84.0,14.0,2015-07-18
Jana Kramer,I Got The Boy,56.0,16.0,2015-10-31
Eric Church,Mr. Misunderstood,84.0,5.0,2016-01-16
Jason Aldean,Gonna Know We Were Here,54.0,16.0,2015-11-07
Panic! At The Disco,Emperor's New Clothes,68.0,4.0,2015-11-14
Curren$Y Featuring August Alsina & Lil Wayne,Bottom Of The Bottle,97.0,1.0,2016-02-13
R. City Featuring Adam Levine,Locked Away,6.0,27.0,2015-08-08
Justin Bieber,I'll Show You,19.0,12.0,2015-11-21
Halsey,New Americana,60.0,17.0,2015-09-19
Panic! At The Disco,Death Of A Bachelor,92.0,1.0,2016-02-06
Rudimental Featuring Ed Sheeran,Lay It All On Me,48.0,16.0,2015-10-17
Drake,Right Hand,58.0,19.0,2015-10-03
Rae Sremmurd,Come Get Her,56.0,19.0,2015-10-03
iLoveMemphis,Lean & Dabb,98.0,1.0,2016-02-06
J Balvin,Ginza,84.0,15.0,2015-09-26
Fetty Wap,Trap Queen,2.0,52.0,2015-02-07
David Bowie,Lazarus,40.0,1.0,2016-01-30
David Bowie,Space Oddity,15.0,15.0,2016-01-30
Queen & David Bowie,Under Pressure,29.0,16.0,2016-01-30
David Bowie,Blackstar,78.0,1.0,2016-01-30
Gwen Stefani,Used To Love You,52.0,9.0,2015-11-14
Blake Shelton,Gonna,54.0,18.0,2015-10-03
Fetty Wap,RGF Island,57.0,14.0,2015-10-10
Ty Dolla $ign Featuring Future & Rae Sremmurd,Blase,63.0,18.0,2015-10-03
Future Featuring Drake,Where Ya At,28.0,25.0,2015-08-08
Skrillex & Diplo With Justin Bieber,Where Are U Now,8.0,45.0,2015-03-21
"Macklemore & Ryan Lewis Featuring Eric Nally, Melle Mel, Kool Moe Dee & Grandmaster Caz",Downtown,12.0,20.0,2015-09-12
Tim McGraw,Top Of The World,73.0,13.0,2015-10-31
Carrie Underwood,Smoke Break,43.0,19.0,2015-09-12
iLoveMemphis,Hit The Quan,15.0,20.0,2015-09-05
Cam,Burning House,29.0,25.0,2015-08-01
Justin Bieber,Purpose,43.0,7.0,2015-12-05
Chris Brown,Liquor,60.0,17.0,2015-09-12
Future,Stick Talk,91.0,2.0,2016-01-09
Justin Bieber Featuring Halsey,The Feeling,31.0,7.0,2015-12-05
Chris Brown,Zero,80.0,2.0,2016-01-09
Fetty Wap Featuring Monty,Jugg,86.0,6.0,2015-10-17
Chris Brown,Little More (Royalty),91.0,1.0,2016-01-09
Jordan Smith,Mary Did You Know,24.0,1.0,2016-01-02
Selena Gomez Featuring A$AP Rocky,Good For You,5.0,26.0,2015-07-11
OMI,Cheerleader,1.0,35.0,2015-05-09
One Direction,Drag Me Down,3.0,20.0,2015-08-22
Jordan Smith,Climb Every Mountain,72.0,1.0,2016-01-02
Drake,Back To Back,21.0,20.0,2015-08-22
Dan + Shay,Nothin' Like You,51.0,19.0,2015-08-29
Luke Bryan,Strip It Down,30.0,20.0,2015-08-08
Jordan Smith & Adam Levine,God Only Knows,90.0,1.0,2016-01-02
Jordan Smith,Somebody To Love,21.0,2.0,2015-12-26
X Ambassadors,Renegades,17.0,35.0,2015-05-02
Justin Bieber,Mark My Words,42.0,4.0,2015-12-05
Parmalee,Already Callin' You Mine,91.0,3.0,2015-11-21
G-Eazy,Random,94.0,1.0,2015-12-26
Justin Bieber Featuring Big Sean,No Pressure,49.0,4.0,2015-12-05
G-Eazy Featuring Chris Brown & Tory Lanez,Drifting,98.0,1.0,2015-12-26
Chris Young,I'm Comin' Over,33.0,23.0,2015-05-30
Calvin Harris & Disciples,How Deep Is Your Love,27.0,20.0,2015-08-08
Justin Bieber Featuring Travi$ Scott,No Sense,54.0,3.0,2015-12-05
Barrett Baber,I'd Just Love To Lay You Down,92.0,1.0,2015-12-19
PSY Featuring CL,Daddy,97.0,1.0,2015-12-19
Madi Davis,Girls Just Want To Have Fun,98.0,1.0,2015-12-19
Cole Swindell,Let Me See Ya Girl,59.0,18.0,2015-08-22
Adele,Remedy,87.0,1.0,2015-12-12
Justin Bieber,Life Is Worth Living,67.0,2.0,2015-12-05
Hailee Steinfeld,Love Myself,30.0,16.0,2015-08-29
Future,Rich $ex,100.0,1.0,2015-12-12
Jordan Smith,Great Is Thy Faithfulness,30.0,1.0,2015-12-05
Old Dominion,Break Up With Him,44.0,20.0,2015-07-25
Justin Bieber,Children,74.0,1.0,2015-12-05
Justin Bieber,Been You,81.0,1.0,2015-12-05
One Direction,If I Could Fly,83.0,1.0,2015-12-05
One Direction,Olivia,87.0,1.0,2015-12-05
Justin Bieber Featuring Nas,We Are,88.0,1.0,2015-12-05
Justin Bieber,Get Used To It,90.0,1.0,2015-12-05
One Direction,A.M.,94.0,1.0,2015-12-05
One Direction,Temporary Fix,96.0,1.0,2015-12-05
Justin Bieber,Trust,98.0,1.0,2015-12-05
WALK THE MOON,Shut Up And Dance,4.0,53.0,2015-01-03
Ed Sheeran,Thinking Out Loud,2.0,58.0,2015-01-03
Rachel Platten,Fight Song,6.0,31.0,2015-05-02
Sam Smith,Writing's On The Wall,71.0,2.0,2015-10-17
Florida Georgia Line,Anything Goes,55.0,18.0,2015-08-08
Demi Lovato,Cool For The Summer,11.0,20.0,2015-07-18
K Camp,Comfortable,54.0,15.0,2015-08-22
Kenny Chesney,Save It For A Rainy Day,54.0,17.0,2015-08-08
Drake & Future,Diamonds Dancing,53.0,8.0,2015-10-10
Chris Stapleton,Traveller,87.0,1.0,2015-11-28
Jordan Smith,Halo,88.0,1.0,2015-11-28
Jess Glynne,Hold My Hand,86.0,6.0,2015-10-03
Nick Jonas,Levels,44.0,12.0,2015-09-12
